ISO,SIZE,QUANTITY,LENGTH,DESCRIPTION
Iso Number,Size,Quantity,Length,Long Description
R-01-2,"2""",1,"1'-10""","2-1/2""x2"" REDUCER, CONC "
R-01-1,"2-1/2""",1,"9'-6""","2-1/2""x3/4"" TEE REDUCING, THRD"

R-02-2,"2-1/2""",1,"2'-1 1/2""","2-1/2"" API PIPE COUPLING, THRD"
R-02-1,"2-1/2""",1,"9'-3""","2-1/2""x3/4"" TEE REDUCING, THRD"

R-03,"2-1/2""",1,"2'-1 1/2""","2-1/2"" API PIPE COUPLING, THRD"
R-03,"2-1/2""",1,"9'-3""","2-1/2""x3/4"" TEE REDUCING, THRD"

R-04,"2-1/2""x3/4""",1,,"2-1/2""x3/4"" TEE REDUCING, THRD"
R-04,"2-1/2""",1,,"2-1/2"" API PIPE COUPLING, THRD"
R-04,"2-1/2""",1,"9'-3""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
R-04,"2-1/2""",1,"2'-1 1/2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."

R-05,"2""",1,"9'-6""","2"" API PIPE COUPLING, THRD"
R-5.1-2,"1""",1,"1'-11-1/4""","1-1/4""x1""x3/4"" TEE REDUCING, THRD"
R-5.1-1,"1""",1,"9'-6""","1"" API PIPE COUPLING, THRD"

R-06,"2""",1,"8'-10 1/2""","2""x3/4"" TEE REDUCING, THRD x 2"" 90 ELL, THRD H.T."

R-07,"2""",1,"8'-10 1/2""","2""x3/4"" TEE REDUCING, THRD x 2"" 90 ELL, THRD, H.T."

R-08,"2-1/2""x3/4""",1,,"2-1/2""x3/4"" TEE REDUCING, THRD x 2-1/2"" 90 ELL, THRD H.T."
R-08,"2-1/2""",1,,
R-08,"2-1/2""",1,"8'-10 1/2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."

R-09,"2""x3/4""",1,,"2""x3/4"" TEE REDUCING, THRD"
R-09,"2""",1,"8'-9 1/2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
R-09,"2""",1,,"2"" 90 ELL, THRD"

R-10,"2""",1,,"2"" 90 ELL, THRD"
R-10,"2""",1,"8'-0 1/2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
R-10,"2""x3/4""",1,,"2""x3/4"" TEE REDUCING, THRD"

R-11,"2""",1,,"2"" 90 ELL, THRD"
R-11,"2""",1,"8'-2 1/2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
R-11,"2""x3/4""",1,,"2""x3/4"" TEE REDUCING, THRD"

R-12,"2""",1,"8'-8 1/2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
R-12,"2""",2,,"2"" 90 ELL, THRD"
R-12,"2""x3/4""",1,,"2""x3/4"" TEE REDUCING, THRD"

R-13,"2""",1,"9'-8 3/4""","2"" API PIPE COUPLING, THRD"
