"Iso Number","Size","Quantity","Length","Long Description"
"","1""","1","1'-10 3/4""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","1""","5","1'-11 1/4""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","1""","3","2'-2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","1""","1","2'-4""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","1""","1","2'-10""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","1""","1","3'","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","1""","1","8'-11 1/2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","1""","2","9'-6""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","1""","19","9'-6 1/2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL4-R-8.1-1","1""","1","1'-8 1/2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL4-S-05","1""","1","3'-10 3/4""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL4-S-13","1""","1","3'-0 3/4""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL5-R-8.1-1","1""","1","9'-6 1/2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL5-S-01","1""","1","9'-6 1/2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL5-S-02","1""","1","9'-6 1/2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL5-S-03","1""","1","9'-6 1/2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL5-S-04","1""","1","9'-6 1/2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL5-S-05","1""","1","9'-6""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL5-S-06","1""","1","9'-6 1/2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL5-S-07","1""","1","9'-6 1/2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL5-S-08","1""","1","9'-6 1/2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL5-S-09","1""","1","9'-6 1/2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL5-S-10","1""","1","9'-6 1/2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL5-S-11","1""","1","9'-6 1/2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL5-S-12","1""","1","9'-6 1/2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL5-S-13","1""","1","9'-6""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL5-S-5.1-1","1""","1","9'-6 1/2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL5-S-8.1-1","1""","1","9'-6 1/2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL6-S-01","1""","1","9'-6 1/2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL6-S-02","1""","1","9'-6""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL6-S-03","1""","1","9'-6""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL6-S-04","1""","1","9'-6""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL6-S-05","1""","1","9'-6""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL6-S-06","1""","1","9'-2 1/2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL6-S-07","1""","1","9'-2 1/2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL6-S-08","1""","1","9'-2 1/2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL6-S-10","1""","1","8'-4 1/2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL6-S-11","1""","1","8'-6 1/2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL6-S-12","1""","1","9'-0 1/2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL6-S-13","1""","1","9'-6""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL6-S-5.1-1","1""","1","9'-6""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL6-S-8.1-1","1""","1","9'-2 1/2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","1-1/2""","4","1'-11""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","1-1/2""","2","2'-2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","1-1/2""","1","9'-2 3/4""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","1-1/2""","1","9'-3""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","1-1/2""","4","9'-6""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","1-1/2""","29","9'-6 1/4""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL4-R-5.1-1","1-1/2""","1","1'-10 1/4""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL5-R-5.1-1","1-1/2""","1","9'-6 1/4""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","1-1/4""","8","1'-11""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","1-1/4""","2","2'-2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","1-1/4""","1","2'-11 1/2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","1-1/4""","2","9'-3""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","1-1/4""","1","9'-5 3/4""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","1-1/4""","8","9'-6""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","1-1/4""","27","9'-6 1/4""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL6-S-09","1-1/4""","1","9'-1""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","2""","1","1'-6""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","2""","1","1'-10""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","2""","1","1'-10 3/4""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","2""","6","2'-2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","2""","2","2'-4""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","2""","2","2'-4 3/4""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","2""","1","2'-6""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","2""","1","3'","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","2""","2","3'-2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","2""","1","8'-0 1/2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","2""","1","8'-2 1/2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","2""","1","8'-8 1/2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","2""","1","8'-9 1/2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","2""","2","8'-10 1/2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","2""","6","9'-2 3/4""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","2""","1","9'-3""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","2""","1","9'-6""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","2""","54","9'-6 1/4""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","2""","1","9'-8 3/4""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL4-R-05","2""","1","3'-11 3/4""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
